Year,Acres Planted,Acres Harvested,Yield (bu/ac),DE Avg Stock Price,Precip,Snow,Mean Temp,GDD
1972,102300.0,100200.0,119.0,0.7926036780827665,34.58,33.2,46.4,2983.0
1973,104800.0,102800.0,112.4,1.0276487088865705,34.58,33.2,46.4,2983.0
1974,115900.0,111100.0,75.0,0.8673696828925092,34.58,25.5,48.6,2837.0
1975,119000.0,115700.0,86.9,1.0006994579149329,28.87,30.1,48.8,3188.0
1976,120600.0,118000.0,108.0,1.5333113580824358,25.28,11.1,48.6,3081.0
1977,127700.0,119700.0,61.3,1.3995085992510357,36.93,14.1,49.5,3408.0
1978,113000.0,110000.0,112.3,1.589291223930934,31.05,14.1,47.6,3209.0
1979,117000.0,114000.0,128.1,2.0213860183836445,31.05,14.1,47.6,3209.0
1980,113000.0,110000.0,100.0,2.1001984404009795,23.8,29.6,49.9,3495.0
1981,118000.0,116700.0,133.5,2.4158758744891924,26.74,22.5,51.4,3376.0
1982,103000.0,101200.0,124.6,1.835146604319335,46.87,51.2,48.0,2969.0
1983,68000.0,66800.0,93.5,2.434056348009072,48.5,65.5,49.4,3463.0
1984,97000.0,95000.0,121.1,2.097497808132247,44.33,39.1,49.5,3142.0
1985,100000.0,98200.0,116.6,2.035874325131613,23.27,45.2,48.2,3364.0
1986,88000.0,86200.0,126.0,2.008004926410117,48.1,13.0,51.0,3471.0
1987,79000.0,78400.0,144.5,2.3074318434409946,33.94,23.0,53.0,3558.0
1988,86000.0,85000.0,86.4,3.33806611238261,17.51,13.9,50.9,3727.0
1989,100000.0,99000.0,128.2,4.255874453082917,22.41,18.2,47.3,2907.0
1990,102000.0,97400.0,124.3,4.876619625468499,41.75,14.8,48.7,2790.0
1991,98000.0,94800.0,111.2,4.177812763824765,39.48,10.9,49.2,3251.0
1992,101000.0,100500.0,155.0,3.8106467301451317,30.41,7.3,47.9,2340.0
1993,89000.0,81300.0,94.7,5.585706642965083,53.73,23.3,47.9,2340.0
1994,96000.0,95400.0,167.0,6.712387821030995,29.21,36.0,47.9,2866.0
1995,90000.0,89400.0,142.9,7.992990102086749,34.35,22.7,47.4,2808.0
1996,95000.0,94400.0,148.2,11.651099505386954,29.76,12.3,45.5,2546.0
1997,93700.0,92800.0,149.7,15.033859863582807,24.71,29.9,46.9,2561.0
1998,93700.0,92900.0,149.2,13.77707054123046,34.17,15.0,51.1,3064.0
1999,89000.0,88500.0,164.4,11.845389706747872,30.59,22.9,51.1,3064.0
2000,89000.0,88100.0,154.8,12.188167647709923,25.33,22.6,49.6,3351.0
2001,87000.0,86200.0,148.7,12.952203266082272,25.24,33.1,49.6,3351.0
2002,92000.0,90500.0,175.7,14.95421252553425,24.3,13.9,49.3,2871.0
2003,89500.0,88000.0,165.3,16.638044092390274,30.7,27.3,49.5,3175.0
2004,94500.0,94000.0,183.4,22.41870349551004,36.28,32.4,49.4,3054.0
2005,94000.0,93000.0,174.7,22.91846297279237,33.09,25.0,50.7,3606.0
2006,89500.0,89300.0,171.9,28.778614340550398,31.4,6.5,51.5,3240.0
2007,99000.0,98500.0,177.8,45.99801663098582,44.0,34.6,50.4,3787.0
2008,93500.0,90000.0,154.0,49.02572509705313,51.82,37.4,47.4,3069.0
2009,92000.0,91500.0,178.6,31.473332934909397,42.8,33.7,48.7,2909.0
2010,87000.0,84500.0,139.4,49.4723539352417,58.19,34.3,51.9,3662.0
2011,89000.0,87100.0,160.6,63.93669191996256,32.08,34.3,50.4,3402.0
2012,92500.0,90300.0,149.1,64.38464231872558,25.02,34.3,50.4,3402.0
2013,83500.0,81200.0,143.6,69.94417378259084,34.02,34.3,49.5,3119.0
2014,83500.0,82100.0,181.4,73.10930857582697,34.02,34.3,49.5,3119.0
2015,81500.0,78500.0,187.0,73.73649563865057,44.3,30.4,49.9,3099.0
2016,86000.0,85100.0,199.8,74.12323555113777,42.37,12.4,51.6,3533.0
2017,79000.0,78500.0,200.3,110.52126810750164,33.21,10.1,51.6,3481.0
2018,78000.0,75800.0,186.2,137.71205883862012,33.21,10.1,51.6,3481.0
2019,79000.0,77900.0,196.7,151.8082147628542,33.21,10.1,51.6,3481.0
2020,76400.0,71300.0,150.2,178.34572182153997,31.45,43.0,50.7,3355.0
2021,71000.0,69600.0,217.5,339.32722819658864,31.45,43.0,50.7,3355.0
